RepairServiceID,DeviceName,DeviceType,DeviceModel,Hardware,Software
8003,McAfee Antivirus,Software,McAfee Antivirus,null,Software
8004,AVG Antivirus,Software,AVG Antivirus,null,Software
8005,Adobe Photoshop,Laptop,Dell Inspiron,null,Software
8006,Slack,Software,Slack,null,Software
8007,Bitdefender Antivirus,Software,Bitdefender Antivirus,null,Software
8008,NVIDIA,Graphics Card,GTX 1650,null,Software
8009,Zoom,Laptop,Lenovo ThinkPad,null,Software
8010,Microsoft Office,Software,Microsoft Office 2021,null,Software
8011,AutoCAD,Laptop,Acer Aspire,null,Software
8012,Windows Defender,Software,Windows Defender,null,Software
8013,League of Legends,Software,League of Legends,null,Software
8014,macOS,MacBook,Apple MacBook Air,null,Software
8015,Recuva,Laptop,Asus ROG,null,Software
8016,Outlook,Laptop,Lenovo Yoga,null,Software
8017,Linux Server,Server,HP ProLiant,null,Software
8018,SQL Server,Software,Microsoft SQL Server,null,Software
8019,Python,Laptop,Dell XPS,null,Software
8020,Google Chrome,Laptop,HP EliteBook,null,Software
8021,Firefox,Laptop,Apple MacBook,null,Software
8022,Bitdefender,Software,Bitdefender Total Security,null,Software
8023,Microsoft Office,Software,Microsoft Office 365,null,Software
8024,Spybot Search & Destroy,Software,Spybot 2023,null,Software
8025,CorelDRAW,Software,CorelDRAW 2023,null,Software
8026,Evernote,Software,Evernote 10.2,null,Software
8027,Adobe Premiere Pro,Software,Adobe Premiere Pro 2023,null,Software
8028,VMware Workstation,Software,VMware Workstation 16,null,Software
8029,Wireshark,Software,Wireshark 4.0,null,Software
8030,Spotify,Software,Spotify 2023.08,null,Software
7001,Seagate Barracuda 1TB,Hard Drive,ST1000DM008,Hardware,null
7002,Logitech K120,Keyboard,Logitech K120,Hardware,null
7003,NVIDIA GTX 1660,Graphics Card,NVIDIA GTX 1660,Hardware,null
7004,EVGA 600W,Power Supply,EVGA 600W,Hardware,null
7005,"Acer 15.6"" IPS",Laptop,ACER-X15-IPS,Hardware,null
7006,Intel Core i7-9700K,Processor,Intel i7-9700K,Hardware,null
7007,Western Digital Blue 500GB,Hard Drive,WD5000AAKX,Hardware,null
7008,Corsair Vengeance 8GB,RAM,Corsair Vengeance LPX,Hardware,null
7009,AMD Radeon RX 580,Graphics Card,AMD RX 580,Hardware,null
7010,Noctua NH-D15,CPU Cooler,Noctua NH-D15,Hardware,null
7011,Seagate Barracuda 2TB,Hard Drive,ST2000DM008,Hardware,null
7012,Samsung 970 EVO 1TB,SSD,Samsung 970 EVO,Hardware,null
7013,LG 27UK850-W,Monitor,LG 27UK850-W,Hardware,null
7014,Dell XPS 15,Laptop,Dell XPS 15,Hardware,null
7015,Toshiba 1TB,Hard Drive,Toshiba DT01ACA100,Hardware,null
7016,Corsair RM750,Power Supply,Corsair RM750,Hardware,null
7017,AMD Ryzen 7 3700X,Processor,AMD Ryzen 7 3700X,Hardware,null
7018,MSI GeForce RTX 3060,Graphics Card,MSI RTX 3060,Hardware,null
7019,Logitech G Pro X,Keyboard,Logitech G Pro X,Hardware,null
7020,ASUS TUF Gaming VG27WQ,Monitor,ASUS VG27WQ,Hardware,null
7021,Kingston A2000 1TB,SSD,Kingston A2000,Hardware,null
7022,HP Envy 13,Laptop,HP Envy 13,Hardware,null
7023,Western Digital Black 500GB,Hard Drive,WD5000BPKX,Hardware,null
7024,Crucial P5 1TB,SSD,Crucial P5,Hardware,null
7025,Acer Aspire 5,Laptop,Acer Aspire 5,Hardware,null
7026,EVGA RTX 3070,Graphics Card,EVGA RTX 3070,Hardware,null
7027,Noctua NH-U12S,CPU Cooler,Noctua NH-U12S,Hardware,null
7028,Samsung 860 EVO 500GB,SSD,Samsung 860 EVO,Hardware,null
7029,"MacBook Pro 13""",Laptop,MacBook Pro 13,Hardware,null
7030,Hitachi Deskstar 1TB,Hard Drive,Hitachi Deskstar,Hardware,null
