SofwareRepairServiceID,Name,StartDate,EndDate,Price,Status,City,State,Country,ServiceType,Duration,DeviceName,DeviceType,DeviceModel,RepairType,Software Type,Software Version
8028,Virtual Machine Repair,4/10/2023,4/15/2023,180,Completed,Konya,Konya,Turkey,Repair,5,VMware Workstation,Software,VMware Workstation 16,Software,VMware Workstation,VMware Workstation 16
8029,Network Management Software Repair,5/1/2023,5/7/2023,210,Completed,Istanbul,Marmara,Turkey,Repair,6,Wireshark,Software,Wireshark 4.0,Software,Wireshark,Wireshark 4.0
8030,Software Configuration Repair,6/5/2023,6/10/2023,130,Completed,Izmir,Izmir,Turkey,Repair,5,Spotify,Software,Spotify 2023.08,Software,Spotify,Spotify 2023.08
4003,Software Reinstallation,3/1/2023,3/2/2023,80,Completed,Ankara,Ankara,Turkey,Repair,1,Lenovo,Laptop,ThinkPad X1,Software,Windows Software,Add Specific Version
4008,Smartphone Software Update,8/1/2023,8/2/2023,50,Completed,Izmir,Izmir,Turkey,Repair,1,Nokia,Smartphone,Nokia 8,Software,Smartphone Software Update,Add Specific Version
4009,PC Software Optimization,9/1/2023,9/2/2023,75,Completed,Ankara,Ankara,Turkey,Repair,1,Dell,Laptop,Dell XPS 13,Software,Optimize Dell Utility Software,Latest Revi TCUX Best!
4013,Software Bug Fix,1/2/2023,1/4/2023,60,Completed,Istanbul,Marmara,Turkey,Repair,2,Asus,Laptop,Asus ROG,Software,Add Software Details,Add Specific Version
4020,Tablet Software Fix,8/1/2023,8/2/2023,70,Completed,Izmir,Izmir,Turkey,Repair,1,Samsung,Tablet,Samsung Tab S5,Software,Resolve Smartphone Sync Error,Check with Team
4021,Smartphone Factory Reset,9/1/2023,9/2/2023,60,Completed,Ankara,Ankara,Turkey,Repair,1,Sony,Smartphone,Sony Xperia Z5,Software,Google Drive Error Issue,Update After Team
4023,Laptop Software Reinstallation,11/1/2023,11/3/2023,90,Completed,Izmir,Izmir,Turkey,Repair,2,HP,Laptop,HP EliteBook,Software,Antivirus Full Repair,Perform Required Action
4027,Phone Software Repair,3/3/2023,3/4/2023,50,Completed,Ankara,Ankara,Turkey,Repair,1,Samsung,Smartphone,Samsung Galaxy A50,Software,Windows Software Issues,Pending Updates
4028,PC Antivirus Fix,4/3/2023,4/4/2023,60,Completed,Istanbul,Marmara,Turkey,Repair,1,HP,PC,HP Desktop,Software,Specific Software Issue,Track Customer
4030,Smartphone Update,6/3/2023,6/4/2023,40,Completed,Ankara,Ankara,Turkey,Repair,1,Google Pixel,Smartphone,Pixel 4,Software,Verify on Meeting Issue,Update Specific Details
4032,PC Software Update,8/3/2023,8/4/2023,50,Completed,Izmir,Izmir,Turkey,Repair,1,Asus,PC,Asus Tower,Software,Laptop BIOS Issue,Latest Version Fix
