HardwareRepairServiceID,Name,StartDate,EndDate,Price,Status,City,State,Country,ServiceType,Duration,DeviceName,DeviceType,DeviceModel,RepairType,Component,ProductionYear
4012,Phone Speaker Repair,12/1/2023,12/2/2023,90,Completed,Ankara,Ankara,Turkey,Repair,1,Xiaomi,Smartphone,Xiaomi Mi 11,Hardware,Phone Speaker,2020
4014,Laptop Screen Replacement,2/1/2023,2/4/2023,300,Completed,Izmir,Izmir,Turkey,Repair,3,Acer,Laptop,Acer Aspire,Hardware,Laptop Screen,2022
4015,Tablet Battery Replacement,3/1/2023,3/3/2023,130,Completed,Ankara,Ankara,Turkey,Repair,2,Lenovo,Tablet,Lenovo Tab M10,Hardware,Tablet Battery,2021
4016,Phone Camera Replacement,4/1/2023,4/3/2023,110,Completed,Istanbul,Marmara,Turkey,Repair,2,iPhone,Smartphone,iPhone 11 Pro,Hardware,Phone Camera,2020
4017,PC Hard Drive Repair,5/1/2023,5/2/2023,180,Completed,Izmir,Izmir,Turkey,Repair,1,Lenovo,PC,Lenovo Desktop,Hardware,PC Hard Drive,2022
4018,Smartphone Screen Repair,6/1/2023,6/3/2023,160,Completed,Ankara,Ankara,Turkey,Repair,2,OnePlus,Smartphone,OnePlus 8,Hardware,Smartphone Screen,2021
4019,Laptop Upgrade,7/1/2023,7/3/2023,250,Completed,Istanbul,Marmara,Turkey,Repair,2,MacBook,Laptop,MacBook Pro 15,Hardware,Laptop Upgrade,2020
4022,Phone Charger Repair,10/1/2023,10/3/2023,80,Completed,Istanbul,Marmara,Turkey,Repair,2,LG,Smartphone,LG G6,Hardware,Phone Charger,2021
4024,PC Power Supply Repair,12/1/2023,12/3/2023,200,Completed,Ankara,Ankara,Turkey,Repair,2,Dell,PC,Dell Inspiron,Hardware,PC Power Supply,2020
4025,Smartphone Hardware Fix,1/3/2023,1/4/2023,100,Completed,Istanbul,Marmara,Turkey,Repair,1,Huawei,Smartphone,Huawei P30,Hardware,Smartphone Hardware,2021
4026,Laptop Keyboard Repair,2/3/2023,2/4/2023,150,Completed,Izmir,Izmir,Turkey,Repair,1,Asus,Laptop,Asus VivoBook,Hardware,Laptop Keyboard,2022
4029,Tablet Speaker Repair,5/3/2023,5/4/2023,80,Completed,Izmir,Izmir,Turkey,Repair,1,Amazon,Tablet,Amazon Fire HD 10,Hardware,Tablet Speaker,2021
4031,Laptop Graphic Card Fix,7/3/2023,7/5/2023,220,Completed,Istanbul,Marmara,Turkey,Repair,2,MSI,Laptop,MSI GE75,Hardware,Laptop Graphic Card,2020
4033,Phone Back Cover Repair,9/3/2023,9/4/2023,70,Completed,Ankara,Ankara,Turkey,Repair,1,Motorola,Smartphone,Motorola Edge,Hardware,Phone Back Cover,2021
4034,Tablet Camera Replacement,10/3/2023,10/4/2023,120,Completed,Istanbul,Marmara,Turkey,Repair,1,Samsung,Tablet,Samsung Tab A7,Hardware,Tablet Camera,2022
4035,PC RAM Issue Fix,11/3/2023,11/4/2023,150,Completed,Izmir,Izmir,Turkey,Repair,1,Acer,PC,Acer Desktop,Hardware,PC RAM,2020
4036,Smartphone Charging Port Repair,12/3/2023,12/4/2023,100,Completed,Ankara,Ankara,Turkey,Repair,1,Nokia,Smartphone,Nokia 6,Hardware,Smartphone Charging Port,2022
4037,Laptop Audio Jack Repair,1/4/2023,1/5/2023,90,Completed,Istanbul,Marmara,Turkey,Repair,1,Toshiba,Laptop,Toshiba Satellite,Hardware,Laptop Audio Jack,2021
4038,Tablet Repair (Miscellaneous),2/4/2023,2/5/2023,130,Completed,Izmir,Izmir,Turkey,Repair,1,Apple,Tablet,iPad Mini,Hardware,Tablet Repair,2020
4039,Phone Water Damage Fix,3/4/2023,3/5/2023,160,Completed,Ankara,Ankara,Turkey,Repair,1,Sony,Smartphone,Sony Xperia XZ,Hardware,Phone Water Damage,2021
4040,PC Overheating Issue Fix,4/4/2023,4/6/2023,180,Completed,Istanbul,Marmara,Turkey,Repair,2,Lenovo,PC,Lenovo ThinkCentre,Hardware,PC Overheating,2020
