RepairServiceID,Name,StartDate,EndDate,Price,Status,City,State,Country,ServiceType,Duration,DeviceName,DeviceType,DeviceModel,RepairType
4026,Laptop Keyboard Repair,2/3/2023,2/4/2023,150,Completed,Izmir,Izmir,Turkey,Repair,1,Asus,Laptop,Asus VivoBook,Hardware
4027,Phone Software Repair,3/3/2023,3/4/2023,50,Completed,Ankara,Ankara,Turkey,Repair,1,Samsung,Smartphone,Samsung Galaxy A50,Software
4028,PC Antivirus Fix,4/3/2023,4/4/2023,60,Completed,Istanbul,Marmara,Turkey,Repair,1,HP,PC,HP Desktop,Software
4029,Tablet Speaker Repair,5/3/2023,5/4/2023,80,Completed,Izmir,Izmir,Turkey,Repair,1,Amazon,Tablet,Amazon Fire HD 10,Hardware
4030,Smartphone Update,6/3/2023,6/4/2023,40,Completed,Ankara,Ankara,Turkey,Repair,1,Google Pixel,Smartphone,Pixel 4,Software
4031,Laptop Graphic Card Fix,7/3/2023,7/5/2023,220,Completed,Istanbul,Marmara,Turkey,Repair,2,MSI,Laptop,MSI GE75,Hardware
4032,PC Software Update,8/3/2023,8/4/2023,50,Completed,Izmir,Izmir,Turkey,Repair,1,Asus,PC,Asus Tower,Software
4033,Phone Back Cover Repair,9/3/2023,9/4/2023,70,Completed,Ankara,Ankara,Turkey,Repair,1,Motorola,Smartphone,Motorola Edge,Hardware
4034,Tablet Camera Replacement,10/3/2023,10/4/2023,120,Completed,Istanbul,Marmara,Turkey,Repair,1,Samsung,Tablet,Samsung Tab A7,Hardware
4035,PC RAM Issue Fix,11/3/2023,11/4/2023,150,Completed,Izmir,Izmir,Turkey,Repair,1,Acer,PC,Acer Desktop,Hardware
4036,Smartphone Charging Port Repair,12/3/2023,12/4/2023,100,Completed,Ankara,Ankara,Turkey,Repair,1,Nokia,Smartphone,Nokia 6,Hardware
4037,Laptop Audio Jack Repair,1/4/2023,1/5/2023,90,Completed,Istanbul,Marmara,Turkey,Repair,1,Toshiba,Laptop,Toshiba Satellite,Hardware
4038,Tablet Repair (Miscellaneous),2/4/2023,2/5/2023,130,Completed,Izmir,Izmir,Turkey,Repair,1,Apple,Tablet,iPad Mini,Hardware
4039,Phone Water Damage Fix,3/4/2023,3/5/2023,160,Completed,Ankara,Ankara,Turkey,Repair,1,Sony,Smartphone,Sony Xperia XZ,Hardware
4040,PC Overheating Issue Fix,4/4/2023,4/6/2023,180,Completed,Istanbul,Marmara,Turkey,Repair,2,Lenovo,PC,Lenovo ThinkCentre,Hardware
8001,Antivirus Repair,1/10/2023,1/15/2023,100,Completed,Istanbul,Marmara,Turkey,Repair,5,Norton Antivirus,Software,Norton Antivirus,Software
8002,Operating System Reinstallation,2/1/2023,2/5/2023,120,Completed,Ankara,Ankara,Turkey,Repair,4,Windows 10,Laptop,HP Pavilion,Software
8003,Antivirus Update,3/5/2023,3/10/2023,80,Completed,Izmir,Izmir,Turkey,Repair,5,McAfee Antivirus,Software,McAfee Antivirus,Software
8004,Malware Removal,4/1/2023,4/10/2023,150,Completed,Antalya,Antalya,Turkey,Repair,9,AVG Antivirus,Software,AVG Antivirus,Software
8005,Software Configuration,5/1/2023,5/5/2023,90,Completed,Bursa,Bursa,Turkey,Repair,4,Adobe Photoshop,Laptop,Dell Inspiron,Software
8006,Application Update,6/10/2023,6/15/2023,50,Completed,Konya,Konya,Turkey,Repair,5,Slack,Software,Slack,Software
8007,Antivirus Removal,7/1/2023,7/5/2023,60,Completed,Istanbul,Marmara,Turkey,Repair,4,Bitdefender Antivirus,Software,Bitdefender Antivirus,Software
8008,Driver Update,8/15/2023,8/20/2023,70,Completed,Izmir,Izmir,Turkey,Repair,5,NVIDIA,Graphics Card,GTX 1650,Software
8009,App Reinstallation,9/1/2023,9/5/2023,110,Completed,Ankara,Ankara,Turkey,Repair,4,Zoom,Laptop,Lenovo ThinkPad,Software
8010,Software Upgrade,10/5/2023,10/10/2023,140,Completed,Antalya,Antalya,Turkey,Repair,5,Microsoft Office,Software,Microsoft Office 2021,Software
8011,Software Troubleshooting,11/1/2023,11/7/2023,100,Completed,Bursa,Bursa,Turkey,Repair,6,AutoCAD,Laptop,Acer Aspire,Software
8012,Software Update,12/1/2023,12/5/2023,85,Completed,Konya,Konya,Turkey,Repair,4,Windows Defender,Software,Windows Defender,Software
8013,Game Patch Update,1/15/2023,1/20/2023,60,Completed,Istanbul,Marmara,Turkey,Repair,5,League of Legends,Software,League of Legends,Software
8014,Operating System Repair,2/10/2023,2/15/2023,120,Completed,Izmir,Izmir,Turkey,Repair,5,macOS,MacBook,Apple MacBook Air,Software
8015,Data Recovery Software,3/20/2023,3/25/2023,180,Completed,Antalya,Antalya,Turkey,Repair,5,Recuva,Laptop,Asus ROG,Software
8016,Email Client Setup,4/10/2023,4/15/2023,80,Completed,Bursa,Bursa,Turkey,Repair,5,Outlook,Laptop,Lenovo Yoga,Software
8017,Server Software Configuration,5/1/2023,5/7/2023,220,Completed,Konya,Konya,Turkey,Repair,6,Linux Server,Server,HP ProLiant,Software
8018,Database Repair,6/5/2023,6/10/2023,200,Completed,Istanbul,Marmara,Turkey,Repair,5,SQL Server,Software,Microsoft SQL Server,Software
8019,Software Compatibility Fix,7/10/2023,7/15/2023,130,Completed,Izmir,Izmir,Turkey,Repair,5,Python,Laptop,Dell XPS,Software
8020,Desktop Software Installation,8/1/2023,8/5/2023,90,Completed,Ankara,Ankara,Turkey,Repair,4,Google Chrome,Laptop,HP EliteBook,Software
8021,Web Browser Update,9/1/2023,9/5/2023,70,Completed,Antalya,Antalya,Turkey,Repair,4,Firefox,Laptop,Apple MacBook,Software
8022,Security Software Repair,10/1/2023,10/7/2023,160,Completed,Bursa,Bursa,Turkey,Repair,6,Bitdefender,Software,Bitdefender Total Security,Software
8023,Software Licensing Issue,11/1/2023,11/10/2023,50,Completed,Konya,Konya,Turkey,Repair,9,Microsoft Office,Software,Microsoft Office 365,Software
8024,Anti-spyware Repair,12/1/2023,12/10/2023,80,Completed,Istanbul,Marmara,Turkey,Repair,9,Spybot Search & Destroy,Software,Spybot 2023,Software
8025,Photo Editing Software Repair,1/10/2023,1/15/2023,100,Completed,Izmir,Izmir,Turkey,Repair,5,CorelDRAW,Software,CorelDRAW 2023,Software
8026,Document Management Software Repair,2/1/2023,2/5/2023,95,Completed,Antalya,Antalya,Turkey,Repair,4,Evernote,Software,Evernote 10.2,Software
8027,Video Editing Software Repair,3/15/2023,3/20/2023,150,Completed,Bursa,Bursa,Turkey,Repair,5,Adobe Premiere Pro,Software,Adobe Premiere Pro 2023,Software
8028,Virtual Machine Repair,4/10/2023,4/15/2023,180,Completed,Konya,Konya,Turkey,Repair,5,VMware Workstation,Software,VMware Workstation 16,Software
8029,Network Management Software Repair,5/1/2023,5/7/2023,210,Completed,Istanbul,Marmara,Turkey,Repair,6,Wireshark,Software,Wireshark 4.0,Software
8030,Software Configuration Repair,6/5/2023,6/10/2023,130,Completed,Izmir,Izmir,Turkey,Repair,5,Spotify,Software,Spotify 2023.08,Software
7001,Hard Drive Repair,1/10/2023,1/15/2023,150,Completed,Istanbul,Marmara,Turkey,Repair,5,Seagate Barracuda 1TB,Hard Drive,ST1000DM008,Hardware
7002,Keyboard Replacement,2/5/2023,2/10/2023,50,Completed,Ankara,Ankara,Turkey,Repair,5,Logitech K120,Keyboard,Logitech K120,Hardware
7003,Graphics Card Repair,3/1/2023,3/5/2023,200,Completed,Izmir,Izmir,Turkey,Repair,4,NVIDIA GTX 1660,Graphics Card,NVIDIA GTX 1660,Hardware
7004,Power Supply Repair,4/1/2023,4/10/2023,120,Completed,Antalya,Antalya,Turkey,Repair,9,EVGA 600W,Power Supply,EVGA 600W,Hardware
7005,Laptop Screen Replacement,5/1/2023,5/10/2023,180,Completed,Bursa,Bursa,Turkey,Repair,9,"Acer 15.6"" IPS",Laptop,ACER-X15-IPS,Hardware
7006,Processor Repair,6/10/2023,6/20/2023,250,Completed,Konya,Konya,Turkey,Repair,10,Intel Core i7-9700K,Processor,Intel i7-9700K,Hardware
7007,Hard Drive Repair,7/1/2023,7/10/2023,140,Completed,Istanbul,Marmara,Turkey,Repair,9,Western Digital Blue 500GB,Hard Drive,WD5000AAKX,Hardware
7008,RAM Replacement,8/5/2023,8/12/2023,100,Completed,Izmir,Izmir,Turkey,Repair,7,Corsair Vengeance 8GB,RAM,Corsair Vengeance LPX,Hardware
7009,Graphics Card Replacement,9/1/2023,9/5/2023,250,Completed,Ankara,Ankara,Turkey,Repair,4,AMD Radeon RX 580,Graphics Card,AMD RX 580,Hardware
7010,CPU Fan Repair,10/1/2023,10/5/2023,75,Completed,Antalya,Antalya,Turkey,Repair,4,Noctua NH-D15,CPU Cooler,Noctua NH-D15,Hardware
7011,Hard Drive Repair,11/1/2023,11/7/2023,130,Completed,Bursa,Bursa,Turkey,Repair,6,Seagate Barracuda 2TB,Hard Drive,ST2000DM008,Hardware
7012,SSD Replacement,12/1/2023,12/5/2023,180,Completed,Konya,Konya,Turkey,Repair,4,Samsung 970 EVO 1TB,SSD,Samsung 970 EVO,Hardware
7013,Monitor Repair,1/15/2023,1/25/2023,220,Completed,Istanbul,Marmara,Turkey,Repair,10,LG 27UK850-W,Monitor,LG 27UK850-W,Hardware
7014,Laptop Motherboard Repair,2/1/2023,2/10/2023,300,Completed,Izmir,Izmir,Turkey,Repair,9,Dell XPS 15,Laptop,Dell XPS 15,Hardware
7015,Hard Drive Repair,3/10/2023,3/20/2023,150,Completed,Antalya,Antalya,Turkey,Repair,10,Toshiba 1TB,Hard Drive,Toshiba DT01ACA100,Hardware
7016,Power Supply Replacement,4/15/2023,4/20/2023,110,Completed,Bursa,Bursa,Turkey,Repair,5,Corsair RM750,Power Supply,Corsair RM750,Hardware
7017,CPU Repair,5/10/2023,5/15/2023,220,Completed,Konya,Konya,Turkey,Repair,5,AMD Ryzen 7 3700X,Processor,AMD Ryzen 7 3700X,Hardware
7018,Graphics Card Repair,6/1/2023,6/10/2023,250,Completed,Istanbul,Marmara,Turkey,Repair,9,MSI GeForce RTX 3060,Graphics Card,MSI RTX 3060,Hardware
7019,Keyboard Repair,7/5/2023,7/15/2023,60,Completed,Izmir,Izmir,Turkey,Repair,10,Logitech G Pro X,Keyboard,Logitech G Pro X,Hardware
7020,Monitor Replacement,8/1/2023,8/10/2023,220,Completed,Ankara,Ankara,Turkey,Repair,9,ASUS TUF Gaming VG27WQ,Monitor,ASUS VG27WQ,Hardware
7021,SSD Repair,9/10/2023,9/15/2023,180,Completed,Antalya,Antalya,Turkey,Repair,5,Kingston A2000 1TB,SSD,Kingston A2000,Hardware
7022,Laptop Battery Replacement,10/5/2023,10/15/2023,80,Completed,Bursa,Bursa,Turkey,Repair,10,HP Envy 13,Laptop,HP Envy 13,Hardware
7023,Hard Drive Repair,11/1/2023,11/10/2023,140,Completed,Konya,Konya,Turkey,Repair,9,Western Digital Black 500GB,Hard Drive,WD5000BPKX,Hardware
7024,SSD Repair,12/10/2023,12/20/2023,170,Completed,Istanbul,Marmara,Turkey,Repair,10,Crucial P5 1TB,SSD,Crucial P5,Hardware
7025,Laptop Motherboard Repair,1/20/2023,1/30/2023,280,Completed,Izmir,Izmir,Turkey,Repair,10,Acer Aspire 5,Laptop,Acer Aspire 5,Hardware
7026,Graphics Card Repair,2/15/2023,2/25/2023,250,Completed,Antalya,Antalya,Turkey,Repair,10,EVGA RTX 3070,Graphics Card,EVGA RTX 3070,Hardware
7027,CPU Cooling Fan Repair,3/5/2023,3/15/2023,95,Completed,Bursa,Bursa,Turkey,Repair,10,Noctua NH-U12S,CPU Cooler,Noctua NH-U12S,Hardware
7028,SSD Replacement,4/1/2023,4/10/2023,180,Completed,Konya,Konya,Turkey,Repair,9,Samsung 860 EVO 500GB,SSD,Samsung 860 EVO,Hardware
7029,Laptop Display Replacement,5/15/2023,5/25/2023,200,Completed,Istanbul,Marmara,Turkey,Repair,10,"MacBook Pro 13""",Laptop,MacBook Pro 13,Hardware
7030,Hard Drive Repair,6/5/2023,6/15/2023,150,Completed,Izmir,Izmir,Turkey,Repair,10,Hitachi Deskstar 1TB,Hard Drive,Hitachi Deskstar,Hardware
